cartodb_id,munichways_id,mapillary_img_id,mapillary_link
457,LHM-Nord.BA10.457,xw3sw_fjfNEmgPm4A0yJdw,https://www.mapillary.com/map/im/xw3sw_fjfNEmgPm4A0yJdw
455,LHM-Mitte.BA03.455,-MPQtt0LRog4gVBq0XNjCg,https://www.mapillary.com/map/im/-MPQtt0LRog4gVBq0XNjCg
450,RV06E.09.750-11.100,darxoDcxdTpeMMnL7AmmGw,https://www.mapillary.com/map/im/darxoDcxdTpeMMnL7AmmGw
439,RV06E.06.400-06.550,null,https://www.mapillary.com/map/im/null
437,LHM-Ost.BA13.437,qfhpbQegBB6D6K_QE05_zw,https://www.mapillary.com/map/im/qfhpbQegBB6D6K_QE05_zw
435,LHM-Ost.BA14.435,oEEinELtNBZTtUJEsU-BiA,https://www.mapillary.com/map/im/oEEinELtNBZTtUJEsU-BiA
432,LHM-Ost.BA13.432,tAw4oa3hF6FMKOyJOYDpNA,https://www.mapillary.com/map/im/tAw4oa3hF6FMKOyJOYDpNA
431,LHM-Ost.BA13.431,-I8hIymJhR0KwkhQkhnM5w,https://www.mapillary.com/map/im/-I8hIymJhR0KwkhQkhnM5w
430,LHM-Ost.BA13.430,D_MLze4sUPXC7i1oF0KnLA,https://www.mapillary.com/map/im/D_MLze4sUPXC7i1oF0KnLA
427,LHM-Ost.BA13.427,uHxkkKkMMI91uTRdbSsLfQ,https://www.mapillary.com/map/im/uHxkkKkMMI91uTRdbSsLfQ
408,LHM-Ost.BA16.408,vLyYeEKtfM8wmxPvhSY1QA,https://www.mapillary.com/map/im/vLyYeEKtfM8wmxPvhSY1QA
406,LK-M.Unterhaching.406,null,https://www.mapillary.com/map/im/null
403,LHM-Ost.BA13.403,0Tl_mhnmhzCpBqERKyz23w,https://www.mapillary.com/map/im/0Tl_mhnmhzCpBqERKyz23w
402,LHM-Ost.BA13.402,M19kr9bs8CIH_wChYUAdgg,https://www.mapillary.com/map/im/M19kr9bs8CIH_wChYUAdgg
398,RV08E.04.100-04.300,ir2XaZAPjz17pihGT3snIE,https://www.mapillary.com/map/im/ir2XaZAPjz17pihGT3snIE
396,LHM-Ost.BA13.396,YhPRq0gzzDdfZyLVVheJ9j,https://www.mapillary.com/map/im/YhPRq0gzzDdfZyLVVheJ9j
389,LHM-Nord.BA12.389,null,https://www.mapillary.com/map/im/null
388,LHM-Nord.BA12.388,null,https://www.mapillary.com/map/im/null
387,LHM-Ost.BA13.387,nFbjZSF2ziBYwl2SShzXHR,https://www.mapillary.com/map/im/nFbjZSF2ziBYwl2SShzXHR
385,LHM-Ost.BA13.385,-PNlHRUinAKFzHFIfV9ekQ,https://www.mapillary.com/map/im/-PNlHRUinAKFzHFIfV9ekQ
377,LHM-Mitte.BA05.377,c3kAW9eK8ktRoQ50NSeo5P,https://www.mapillary.com/map/im/c3kAW9eK8ktRoQ50NSeo5P
370,LHM-Mitte.BA05.370,kZ5-GJz1-wOromfYOxqbCw,https://www.mapillary.com/map/im/kZ5-GJz1-wOromfYOxqbCw
366,LHM-Nord.BA11.366,juDkdj7PPoRJyEsPXPf2nI,https://www.mapillary.com/map/im/juDkdj7PPoRJyEsPXPf2nI
365,LHM-Nord.BA12.365,null,https://www.mapillary.com/map/im/null
361,LHM-Nord.BA12.361,SHSk-f3NRCC5JwBVaiq2hA,https://www.mapillary.com/map/im/SHSk-f3NRCC5JwBVaiq2hA
360,LHM-Nord.BA12.360,dXiDP54A6GuZeRi7jbA25t,https://www.mapillary.com/map/im/dXiDP54A6GuZeRi7jbA25t
359,LHM-Nord.BA12.359,null,https://www.mapillary.com/map/im/null
358,LHM-Nord.BA12.358,iatpAuCz4P2kTtEMKPVGyA,https://www.mapillary.com/map/im/iatpAuCz4P2kTtEMKPVGyA
355,LHM-Mitte.BA01.355,TAcmDcNFLle8uTf_Mlwblg,https://www.mapillary.com/map/im/TAcmDcNFLle8uTf_Mlwblg
351,LHM-Mitte.BA05.351,qujbHexV40c6kSw2digMJA,https://www.mapillary.com/map/im/qujbHexV40c6kSw2digMJA
349,LHM-Mitte.BA01.349,bjrjotYnZBXAyhWWFMUPmA,https://www.mapillary.com/map/im/bjrjotYnZBXAyhWWFMUPmA
348,LHM-Mitte.BA05.348,4CEIN9M2v-ZzpHIFKFyiAg,https://www.mapillary.com/map/im/4CEIN9M2v-ZzpHIFKFyiAg
340,LHM-Nord.BA04.340,null,https://www.mapillary.com/map/im/null
337,LHM-Nord.BA04.337,bzYPgBoDa58KoN-v5bL8qA,https://www.mapillary.com/map/im/bzYPgBoDa58KoN-v5bL8qA
330,LHM-Nord.BA04.330,vuuXCii74e651kH6veeLF0,https://www.mapillary.com/map/im/vuuXCii74e651kH6veeLF0
325,LHM-Mitte.BA03.325,Eg-T8HKCbp1kqZN_BKLT6w,https://www.mapillary.com/map/im/Eg-T8HKCbp1kqZN_BKLT6w
323,LHM-Mitte.BA02.323,jYJ1AMwRkeiJiMj8Vqt1Re,https://www.mapillary.com/map/im/jYJ1AMwRkeiJiMj8Vqt1Re
320,LHM-Mitte.BA02.320,jYJ1AMwRkeiJiMj8Vqt1Re,https://www.mapillary.com/map/im/jYJ1AMwRkeiJiMj8Vqt1Re
316,LHM-Mitte.BA01.316,kkd2VnErKILBGJ32Imec7g,https://www.mapillary.com/map/im/kkd2VnErKILBGJ32Imec7g
306,LHM-Ost.BA16.306,H0_RlYRBECBCTz29WqJM9g,https://www.mapillary.com/map/im/H0_RlYRBECBCTz29WqJM9g
305,LHM-Ost.BA17.305,QCruEWwrFt-ntZE9I4r4Gg,https://www.mapillary.com/map/im/QCruEWwrFt-ntZE9I4r4Gg
304,LHM-Ost.BA16.304,null,https://www.mapillary.com/map/im/null
303,LHM-Ost.BA17.303,nuiON6Ovi450KLYubsR45w,https://www.mapillary.com/map/im/nuiON6Ovi450KLYubsR45w
302,LHM-Ost.BA16.302,E6xhPCiEIJalZlcCk8mEZg,https://www.mapillary.com/map/im/E6xhPCiEIJalZlcCk8mEZg
301,LHM-Ost.BA16.301,j4qNaUPJoH7qZRosPRyXDJ,https://www.mapillary.com/map/im/j4qNaUPJoH7qZRosPRyXDJ
299,LHM-Ost.BA17.299,4pHZf7ezDQGubRDSVdlQLZ,https://www.mapillary.com/map/im/4pHZf7ezDQGubRDSVdlQLZ
298,LHM-Ost.BA16.298,DzJ1yme5G874r3AC9RVVwP,https://www.mapillary.com/map/im/DzJ1yme5G874r3AC9RVVwP
297,LHM-Ost.BA16.297,015aeIe2I7HKC97nNjsbQg,https://www.mapillary.com/map/im/015aeIe2I7HKC97nNjsbQg
295,LHM-Ost.BA16.295,xsGpuuOSuVM6g87LKwpKRA,https://www.mapillary.com/map/im/xsGpuuOSuVM6g87LKwpKRA
293,LHM-Ost.BA17.293,L3GmieMa6Tl0LGHTYAvqMQ,https://www.mapillary.com/map/im/L3GmieMa6Tl0LGHTYAvqMQ
291,LHM-Ost.BA17.291,Tq0B2jWNxkpUiGyES8WBqA,https://www.mapillary.com/map/im/Tq0B2jWNxkpUiGyES8WBqA
290,LHM-Ost.BA17.290,qqqlz-xlgPn7WnI9tp8LjQ,https://www.mapillary.com/map/im/qqqlz-xlgPn7WnI9tp8LjQ
289,LK-M.Neubiberg.289,CkbIqsjrNCwuepOMUVzY7w,https://www.mapillary.com/map/im/CkbIqsjrNCwuepOMUVzY7w
287,LHM-Ost.BA17.287,gzyiudFULAIPIKVNSljZQQ,https://www.mapillary.com/map/im/gzyiudFULAIPIKVNSljZQQ
285,LHM-Ost.BA17.285,UxRy7KQwZs3cG1fIm0h0Fw,https://www.mapillary.com/map/im/UxRy7KQwZs3cG1fIm0h0Fw
283,LK-M.Neubiberg.283,null,https://www.mapillary.com/map/im/null
279,LHM-Ost.BA17.279,svwsCAU8aqXh6jtsKffTLw,https://www.mapillary.com/map/im/svwsCAU8aqXh6jtsKffTLw
278,LHM-Ost.BA17.278,null,https://www.mapillary.com/map/im/null
276,LHM-Ost.BA17.276,Z4S4WZrNFywruFA-LyJ48A,https://www.mapillary.com/map/im/Z4S4WZrNFywruFA-LyJ48A
275,LHM-Ost.BA17.275,f5Sa5wA4eYPcX9hKb-x6VQ,https://www.mapillary.com/map/im/f5Sa5wA4eYPcX9hKb-x6VQ
273,LHM-Ost.BA17.273,ZWfySJgKHQ-HGxJR9cTVgg,https://www.mapillary.com/map/im/ZWfySJgKHQ-HGxJR9cTVgg
272,LHM-Ost.BA17.272,xv22IrAp9Wp5kqTtGazNKQ,https://www.mapillary.com/map/im/xv22IrAp9Wp5kqTtGazNKQ
271,LHM-Ost.BA17.271,null,https://www.mapillary.com/map/im/null
269,LHM-Ost.BA17.269,null,https://www.mapillary.com/map/im/null
268,LHM-Ost.BA17.268,SHtoTttFka4hesw0fpYfcg,https://www.mapillary.com/map/im/SHtoTttFka4hesw0fpYfcg
267,LHM-Ost.BA17.267,null,https://www.mapillary.com/map/im/null
265,LHM-Mitte.BA05.265,Or_7URcfI_xwVclmkbghpA,https://www.mapillary.com/map/im/Or_7URcfI_xwVclmkbghpA
264,LHM-Mitte.BA05.264,null,https://www.mapillary.com/map/im/null
263,LHM-Ost.BA17.263,null,https://www.mapillary.com/map/im/null
261,LHM-Ost.BA17.261,6E2asedUDEdoZvJQWM8PtA,https://www.mapillary.com/map/im/6E2asedUDEdoZvJQWM8PtA
260,LHM-Ost.BA17.260,qokhb13X5jEoJOQr8wbpcd,https://www.mapillary.com/map/im/qokhb13X5jEoJOQr8wbpcd
259,LHM-Ost.BA17.259,F9laj0voBCig-pMMCLSL5w,https://www.mapillary.com/map/im/F9laj0voBCig-pMMCLSL5w
258,LHM-Ost.BA17.258,rJWLembPD4wIwLKOaa_YWQ,https://www.mapillary.com/map/im/rJWLembPD4wIwLKOaa_YWQ
256,LHM-Ost.BA17.256,Jc6JMVK9jsvaTZiIjcLPFw,https://www.mapillary.com/map/im/Jc6JMVK9jsvaTZiIjcLPFw
254,LHM-Ost.BA18.254,If0h19P1qspi0sJJBufx4V,https://www.mapillary.com/map/im/If0h19P1qspi0sJJBufx4V
252,LHM-Ost.BA18.252,oUapbqr4tL_V9eF3fp-jVg,https://www.mapillary.com/map/im/oUapbqr4tL_V9eF3fp-jVg
250,LK-M.Perlacher Forst.250,null,https://www.mapillary.com/map/im/null
249,LHM-Ost.BA18.249,null,https://www.mapillary.com/map/im/null
248,LHM-Ost.BA17.248,FjSEsYXVQKoBz8rIXt17bw,https://www.mapillary.com/map/im/FjSEsYXVQKoBz8rIXt17bw
247,LHM-Ost.BA17.247,1sG46DjQULE3hZvyMeoBxQ,https://www.mapillary.com/map/im/1sG46DjQULE3hZvyMeoBxQ
245,LHM-Ost.BA17.245,wYMsE7pf7wVtIPD5ohqOtA,https://www.mapillary.com/map/im/wYMsE7pf7wVtIPD5ohqOtA
244,LHM-Ost.BA18.244,t40FpHJBRVpZwXk14ORKRQ,https://www.mapillary.com/map/im/t40FpHJBRVpZwXk14ORKRQ
242,LHM-Ost.BA17.242,RQx6liKjtdoP7J2j3FSLYg,https://www.mapillary.com/map/im/RQx6liKjtdoP7J2j3FSLYg
240,LHM-Ost.BA17.240,vBxOxj8IBotP8hp0yd06LQ,https://www.mapillary.com/map/im/vBxOxj8IBotP8hp0yd06LQ
239,LHM-Ost.BA17.239,null,https://www.mapillary.com/map/im/null
237,LHM-Ost.BA18.237,FszA4v8TevNya6ymZGWxSQ,https://www.mapillary.com/map/im/FszA4v8TevNya6ymZGWxSQ
236,LHM-Ost.BA18.236,aRQpwHFfmxc9W9KOvp6080,https://www.mapillary.com/map/im/aRQpwHFfmxc9W9KOvp6080
235,LHM-Ost.BA17.235,null,https://www.mapillary.com/map/im/null
234,LHM-Ost.BA18.234,null,https://www.mapillary.com/map/im/null
233,LHM-Ost.BA17.233,null,https://www.mapillary.com/map/im/null
232,LHM-Ost.BA18.232,sEMdGmZ4exGPaeglFu8POE,https://www.mapillary.com/map/im/sEMdGmZ4exGPaeglFu8POE
231,LHM-Ost.BA18.231,Ufhabd3sssClbhEfWrfPow,https://www.mapillary.com/map/im/Ufhabd3sssClbhEfWrfPow
230,LHM-Ost.BA18.230,mXEDZjfX5ZeT3Rud_Bo4hQ,https://www.mapillary.com/map/im/mXEDZjfX5ZeT3Rud_Bo4hQ
229,LHM-Ost.BA18.229,null,https://www.mapillary.com/map/im/null
225,LK-M.Perlacher Forst.225,null,https://www.mapillary.com/map/im/null
224,LK-M.Oberhaching.224,SPNkPT7jwPVVmimuZ15fie,https://www.mapillary.com/map/im/SPNkPT7jwPVVmimuZ15fie
218,LHM-Nord.BA04.218,zlKTt4WtE7xeLPtFIOCX3g,https://www.mapillary.com/map/im/zlKTt4WtE7xeLPtFIOCX3g
216,LHM-Nord.BA04.216,WtPhZGjk1ZJaKSMnf5h63w,https://www.mapillary.com/map/im/WtPhZGjk1ZJaKSMnf5h63w
215,LHM-West.BA09.215,1Q7lxXUhnLStfyLfNp2IqA,https://www.mapillary.com/map/im/1Q7lxXUhnLStfyLfNp2IqA
210,LHM-Mitte.BA02.210,9mMakkdubuNFcjer8v0dzQ,https://www.mapillary.com/map/im/9mMakkdubuNFcjer8v0dzQ
207,LHM-Mitte.BA03.207,null,https://www.mapillary.com/map/im/null
202,LHM-West.BA09.202,UStW2HULV_xFeaEUSFWbiw,https://www.mapillary.com/map/im/UStW2HULV_xFeaEUSFWbiw
193,LHM-West.BA09.193,bKmISw2q-hBFMjyx2xYRug,https://www.mapillary.com/map/im/bKmISw2q-hBFMjyx2xYRug
192,LHM-Nord.BA10.192,tYzTwK2pMB1-0TjCAmoviQ,https://www.mapillary.com/map/im/tYzTwK2pMB1-0TjCAmoviQ
191,LHM-West.BA09.191,null,https://www.mapillary.com/map/im/null
190,LHM-West.BA09.190,null,https://www.mapillary.com/map/im/null
189,LHM-West.BA09.189,null,https://www.mapillary.com/map/im/null
187,LHM-West.BA09.187,null,https://www.mapillary.com/map/im/null
183,LHM-West.BA09.183,null,https://www.mapillary.com/map/im/null
182,LHM-West.BA09.182,rhd5WWgJUAyLTrgqD_r3mQ,https://www.mapillary.com/map/im/rhd5WWgJUAyLTrgqD_r3mQ
179,LHM-Mitte.BA08.179,0P5WAuNjPuc03TWn2wnZrQ,https://www.mapillary.com/map/im/0P5WAuNjPuc03TWn2wnZrQ
177,LHM-Mitte.BA08.177,namivdrabIvpVoe65N6P-Q,https://www.mapillary.com/map/im/namivdrabIvpVoe65N6P-Q
176,LHM-Mitte.BA08.176,tvap5_9XV_4oy53xo6EPJA,https://www.mapillary.com/map/im/tvap5_9XV_4oy53xo6EPJA
174,LHM-Mitte.BA08.174,ARvs9TGY_Lf6urwVwAJcLA,https://www.mapillary.com/map/im/ARvs9TGY_Lf6urwVwAJcLA
172,LHM-Mitte.BA08.172,ncSw3jveqpy3kG4ZjzgtWA,https://www.mapillary.com/map/im/ncSw3jveqpy3kG4ZjzgtWA
171,LHM-Mitte.BA08.171,lya7wboMvrzqNsdsh5vIDq,https://www.mapillary.com/map/im/lya7wboMvrzqNsdsh5vIDq
